Seed,School
1,Gonzaga
1,Baylor
1,Illinois
1,Michigan
2,Alabama
2,Ohio St.
2,Iowa
2,Houston
3,Arkansas
3,West Virginia
3,Texas
3,Kansas
4,Florida St.
4,Purdue
4,Oklahoma St.
4,Virginia
5,Creighton
5,Villanova
5,Tennessee
5,Colorado
6,USC
6,Texas Tech.
6,BYU
6,San Diego St.
7,Oregon
7,UConn
7,Clemson
7,Florida
8,LSU
8,Loyola Chicago
8,North Carolina
8,Oklahoma
9,Missouri
9,Georgia Tech
9,Wisconsin
9,St. Bonaventure
10,Maryland
10,Virginia Tech.
10,VCU
10,Rutgers
11,Syracuse
11,Utah St.
11,Michigan St.
11,UCLA
12,Wichita St.
12,Drake
12,Oregon St.
12,Georgetown
13,Winthrop
13,UC Santa Barbara
13,Ohio
13,North Texas
14,Liberty
14,UNC Greensboro
14,Abilene Christian
14,Morehead St.
15,Colgate
15,Eastern Washington
15,Grand Canyon
15,Cleveland St.
16,Oral Roberts
16,Iona
16,Drexel
16,Hartford
